t,y(t)
0.0,0.0
1.0,0.08333333333333333
2.0,0.16666666666666666
3.0,0.25
4.0,0.3333333333333333
5.0,0.41666666666666663
6.0,0.5
7.0,0.5833333333333333
8.0,0.6666666666666666
9.0,0.75
10.0,0.8333333333333333
11.0,0.9166666666666666
12.0,1.0
13.0,1.0833333333333333
14.0,1.1666666666666665
15.0,1.25
16.0,1.3333333333333333
17.0,1.4166666666666665
18.0,1.5
19.0,1.5833333333333333
20.0,1.6666666666666665
21.0,1.75
22.0,1.8333333333333333
23.0,1.9166666666666665
24.0,2.0
25.0,2.083333333333333
26.0,2.1666666666666665
27.0,2.25
28.0,2.333333333333333
29.0,2.4166666666666665
30.0,2.5
31.0,2.583333333333333
32.0,2.6666666666666665
33.0,2.75
34.0,2.833333333333333
35.0,2.9166666666666665
36.0,3.0
37.0,3.083333333333333
38.0,3.1666666666666665
39.0,3.25
40.0,3.333333333333333
41.0,3.4166666666666665
42.0,3.5
43.0,3.583333333333333
44.0,3.6666666666666665
45.0,3.75
46.0,3.833333333333333
47.0,3.9166666666666665
48.0,4.0
49.0,4.083333333333333
50.0,4.166666666666666
51.0,4.25
52.0,4.333333333333333
53.0,4.416666666666666
54.0,4.5
55.0,4.583333333333333
56.0,4.666666666666666
57.0,4.75
58.0,4.833333333333333
59.0,4.916666666666666
60.0,5.0
61.0,5.083333333333333
62.0,5.166666666666666
63.0,5.25
64.0,5.333333333333333
65.0,5.416666666666666
66.0,5.5
67.0,5.583333333333333
68.0,5.666666666666666
69.0,5.75
70.0,5.833333333333333
71.0,5.916666666666666
72.0,6.0
73.0,6.083333333333333
74.0,6.166666666666666
75.0,6.25
76.0,6.333333333333333
77.0,6.416666666666666
78.0,6.5
79.0,6.583333333333333
80.0,6.666666666666666
81.0,6.75
82.0,6.833333333333333
83.0,6.916666666666666
84.0,7.0
85.0,7.083333333333333
86.0,7.166666666666666
87.0,7.25
88.0,7.333333333333333
89.0,7.416666666666666
90.0,7.5
91.0,7.583333333333333
92.0,7.666666666666666
93.0,7.75
94.0,7.833333333333333
95.0,7.916666666666666
96.0,8.0
97.0,8.083333333333332
98.0,8.166666666666666
99.0,8.25
100.0,8.333333333333332
101.0,8.416666666666666
102.0,8.5
103.0,8.583333333333332
104.0,8.666666666666666
105.0,8.75
106.0,8.833333333333332
107.0,8.916666666666666
108.0,9.0
109.0,9.083333333333332
110.0,9.166666666666666
111.0,9.25
112.0,9.333333333333332
113.0,9.416666666666666
114.0,9.5
115.0,9.583333333333332
116.0,9.666666666666666
117.0,9.75
118.0,9.833333333333332
119.0,9.916666666666666
120.0,10.0
121.0,10.083333333333332
122.0,10.166666666666666
123.0,10.25
124.0,10.333333333333332
125.0,10.416666666666666
126.0,10.5
127.0,10.583333333333332
128.0,10.666666666666666
129.0,10.75
130.0,10.833333333333332
131.0,10.916666666666666
132.0,11.0
133.0,11.083333333333332
134.0,11.166666666666666
135.0,11.25
136.0,11.333333333333332
137.0,11.416666666666666
138.0,11.5
139.0,11.583333333333332
140.0,11.666666666666666
141.0,11.75
142.0,11.833333333333332
143.0,11.916666666666666
144.0,12.0
145.0,12.083333333333332
146.0,12.166666666666666
147.0,12.25
148.0,12.333333333333332
149.0,12.416666666666666
150.0,12.5
151.0,12.583333333333332
152.0,12.666666666666666
153.0,12.75
154.0,12.833333333333332
155.0,12.916666666666666
156.0,13.0
157.0,13.083333333333332
158.0,13.166666666666666
159.0,13.25
160.0,13.333333333333332
161.0,13.416666666666666
162.0,13.5
163.0,13.583333333333332
164.0,13.666666666666666
165.0,13.75
166.0,13.833333333333332
167.0,13.916666666666666
168.0,14.0
169.0,14.083333333333332
170.0,14.166666666666666
171.0,14.25
172.0,14.333333333333332
173.0,14.416666666666666
174.0,14.5
175.0,14.583333333333332
176.0,14.666666666666666
177.0,14.75
178.0,14.833333333333332
179.0,14.916666666666666
180.0,15.0
181.0,15.083333333333332
182.0,15.166666666666666
183.0,15.25
184.0,15.333333333333332
185.0,15.416666666666666
186.0,15.5
187.0,15.583333333333332
188.0,15.666666666666666
189.0,15.75
190.0,15.833333333333332
191.0,15.916666666666666
192.0,16.0
193.0,16.083333333333332
194.0,16.166666666666664
195.0,16.25
196.0,16.333333333333332
197.0,16.416666666666664
198.0,16.5
199.0,16.583333333333332
200.0,16.666666666666664
201.0,16.75
202.0,16.833333333333332
203.0,16.916666666666664
204.0,17.0
205.0,17.083333333333332
206.0,17.166666666666664
207.0,17.25
208.0,17.333333333333332
209.0,17.416666666666664
210.0,17.5
211.0,17.583333333333332
212.0,17.666666666666664
213.0,17.75
214.0,17.833333333333332
215.0,17.916666666666664
216.0,18.0
217.0,18.083333333333332
218.0,18.166666666666664
219.0,18.25
220.0,18.333333333333332
221.0,18.416666666666664
222.0,18.5
223.0,18.583333333333332
224.0,18.666666666666664
225.0,18.75
226.0,18.833333333333332
227.0,18.916666666666664
228.0,19.0
229.0,19.083333333333332
230.0,19.166666666666664
231.0,19.25
232.0,19.333333333333332
233.0,19.416666666666664
234.0,19.5
235.0,19.583333333333332
236.0,19.666666666666664
237.0,19.75
238.0,19.833333333333332
239.0,19.916666666666664
240.0,20.0
241.0,20.083333333333332
242.0,20.166666666666664
243.0,20.25
244.0,20.333333333333332
245.0,20.416666666666664
246.0,20.5
247.0,20.583333333333332
248.0,20.666666666666664
249.0,20.75
250.0,20.833333333333332
251.0,20.916666666666664
252.0,21.0
253.0,21.083333333333332
254.0,21.166666666666664
255.0,21.25
256.0,21.333333333333332
257.0,21.416666666666664
258.0,21.5
259.0,21.583333333333332
260.0,21.666666666666664
261.0,21.75
262.0,21.833333333333332
263.0,21.916666666666664
264.0,22.0
265.0,22.083333333333332
266.0,22.166666666666664
267.0,22.25
268.0,22.333333333333332
269.0,22.416666666666664
270.0,22.5
271.0,22.583333333333332
272.0,22.666666666666664
273.0,22.75
274.0,22.833333333333332
275.0,22.916666666666664
276.0,23.0
277.0,23.083333333333332
278.0,23.166666666666664
279.0,23.25
280.0,23.333333333333332
281.0,23.416666666666664
282.0,23.5
283.0,23.583333333333332
284.0,23.666666666666664
285.0,23.75
286.0,23.833333333333332
287.0,23.916666666666664
288.0,24.0
289.0,24.083333333333332
290.0,24.166666666666664
291.0,24.25
292.0,24.333333333333332
293.0,24.416666666666664
294.0,24.5
295.0,24.583333333333332
296.0,24.666666666666664
297.0,24.75
298.0,24.833333333333332
299.0,24.916666666666664
300.0,25.0
301.0,25.083333333333332
302.0,25.166666666666664
303.0,25.25
304.0,25.333333333333332
305.0,25.416666666666664
306.0,25.5
307.0,25.583333333333332
308.0,25.666666666666664
309.0,25.75
310.0,25.833333333333332
311.0,25.916666666666664
312.0,26.0
313.0,26.083333333333332
314.0,26.166666666666664
315.0,26.25
316.0,26.333333333333332
317.0,26.416666666666664
318.0,26.5
319.0,26.583333333333332
320.0,26.666666666666664
321.0,26.75
322.0,26.833333333333332
323.0,26.916666666666664
324.0,27.0
325.0,27.083333333333332
326.0,27.166666666666664
327.0,27.25
328.0,27.333333333333332
329.0,27.416666666666664
330.0,27.5
331.0,27.583333333333332
332.0,27.666666666666664
333.0,27.75
334.0,27.833333333333332
335.0,27.916666666666664
336.0,28.0
337.0,28.083333333333332
338.0,28.166666666666664
339.0,28.25
340.0,28.333333333333332
341.0,28.416666666666664
342.0,28.5
343.0,28.583333333333332
344.0,28.666666666666664
345.0,28.75
346.0,28.833333333333332
347.0,28.916666666666664
348.0,29.0
349.0,29.083333333333332
350.0,29.166666666666664
351.0,29.25
352.0,29.333333333333332
353.0,29.416666666666664
354.0,29.5
355.0,29.583333333333332
356.0,29.666666666666664
357.0,29.75
358.0,29.833333333333332
359.0,29.916666666666664
360.0,30.0
361.0,30.083333333333332
362.0,30.166666666666664
363.0,30.25
364.0,30.333333333333332
365.0,30.416666666666664
366.0,30.5
367.0,30.583333333333332
368.0,30.666666666666664
369.0,30.75
370.0,30.833333333333332
371.0,30.916666666666664
372.0,31.0
373.0,31.083333333333332
374.0,31.166666666666664
375.0,31.25
376.0,31.333333333333332
377.0,31.416666666666664
378.0,31.5
379.0,31.583333333333332
380.0,31.666666666666664
381.0,31.75
382.0,31.833333333333332
383.0,31.916666666666664
384.0,32.0
385.0,32.08333333333333
386.0,32.166666666666664
387.0,32.25
388.0,32.33333333333333
389.0,32.416666666666664
390.0,32.5
391.0,32.58333333333333
392.0,32.666666666666664
393.0,32.75
394.0,32.83333333333333
395.0,32.916666666666664
396.0,33.0
397.0,33.08333333333333
398.0,33.166666666666664
399.0,33.25
400.0,33.33333333333333
401.0,33.416666666666664
402.0,33.5
403.0,33.58333333333333
404.0,33.666666666666664
405.0,33.75
406.0,33.83333333333333
407.0,33.916666666666664
408.0,34.0
409.0,34.08333333333333
410.0,34.166666666666664
411.0,34.25
412.0,34.33333333333333
413.0,34.416666666666664
414.0,34.5
415.0,34.58333333333333
416.0,34.666666666666664
417.0,34.75
418.0,34.83333333333333
419.0,34.916666666666664
420.0,35.0
421.0,35.08333333333333
422.0,35.166666666666664
423.0,35.25
424.0,35.33333333333333
425.0,35.416666666666664
426.0,35.5
427.0,35.58333333333333
428.0,35.666666666666664
429.0,35.75
430.0,35.83333333333333
431.0,35.916666666666664
432.0,36.0
433.0,36.08333333333333
434.0,36.166666666666664
435.0,36.25
436.0,36.33333333333333
437.0,36.416666666666664
438.0,36.5
439.0,36.58333333333333
440.0,36.666666666666664
441.0,36.75
442.0,36.83333333333333
443.0,36.916666666666664
444.0,37.0
445.0,37.08333333333333
446.0,37.166666666666664
447.0,37.25
448.0,37.33333333333333
449.0,37.416666666666664
450.0,37.5
451.0,37.58333333333333
452.0,37.666666666666664
453.0,37.75
454.0,37.83333333333333
455.0,37.916666666666664
456.0,38.0
457.0,38.08333333333333
458.0,38.166666666666664
459.0,38.25
460.0,38.33333333333333
461.0,38.416666666666664
462.0,38.5
463.0,38.58333333333333
464.0,38.666666666666664
465.0,38.75
466.0,38.83333333333333
467.0,38.916666666666664
468.0,39.0
469.0,39.08333333333333
470.0,39.166666666666664
471.0,39.25
472.0,39.33333333333333
473.0,39.416666666666664
474.0,39.5
475.0,39.58333333333333
476.0,39.666666666666664
477.0,39.75
478.0,39.83333333333333
479.0,39.916666666666664
480.0,40.0
481.0,40.08333333333333
482.0,40.166666666666664
483.0,40.25
484.0,40.33333333333333
485.0,40.416666666666664
486.0,40.5
487.0,40.58333333333333
488.0,40.666666666666664
489.0,40.75
490.0,40.83333333333333
491.0,40.916666666666664
492.0,41.0
493.0,41.08333333333333
494.0,41.166666666666664
495.0,41.25
496.0,41.33333333333333
497.0,41.416666666666664
498.0,41.5
499.0,41.58333333333333
500.0,41.666666666666664
501.0,41.75
502.0,41.83333333333333
503.0,41.916666666666664
504.0,42.0
505.0,42.08333333333333
506.0,42.166666666666664
507.0,42.25
508.0,42.33333333333333
509.0,42.416666666666664
510.0,42.5
511.0,42.58333333333333
512.0,42.666666666666664
513.0,42.75
514.0,42.83333333333333
515.0,42.916666666666664
516.0,43.0
517.0,43.08333333333333
518.0,43.166666666666664
519.0,43.25
520.0,43.33333333333333
521.0,43.416666666666664
522.0,43.5
523.0,43.58333333333333
524.0,43.666666666666664
525.0,43.75
526.0,43.83333333333333
527.0,43.916666666666664
528.0,44.0
529.0,44.08333333333333
530.0,44.166666666666664
531.0,44.25
532.0,44.33333333333333
533.0,44.416666666666664
534.0,44.5
535.0,44.58333333333333
536.0,44.666666666666664
537.0,44.75
538.0,44.83333333333333
539.0,44.916666666666664
540.0,45.0
